'LZM0007','giovision','001000000000','001001000000','001001004000'
'LZM0005','giovision','001000000000','001001000000','001001004000'
'HES001','sitg','001000000000','001001000000','001001006000'
'1447894621','HANIL','001000000000','001002000000','001002002000'
'1447894380','HANIL','001000000000','001002000000','001002002000'
'1447649003','HANIL','001000000000','001002000000','001002003000'
'1447391351','yoonsung','001000000000','001001000000','001001006000'
'1447391251','yoonsung','001000000000','001001000000','001001006000'
'1447390896','yoonsung','001000000000','001001000000','001001006000'
'1447390765','yoonsung','001000000000','001001000000','001001006000'
'1447390512','yoonsung','001000000000','001001000000','001001006000'
'1447390299','yoonsung','001000000000','001001000000','001001006000'
'1447390210','yoonsung','001000000000','001001000000','001001006000'
'1447390051','yoonsung','001000000000','001001000000','001001006000'
'1447389835','yoonsung','001000000000','001001000000','001001006000'
'1447389349','yoonsung','001000000000','001001000000','001001006000'
'1447305669','yoonsung','001000000000','001001000000','001001006000'
'1447305556','yoonsung','001000000000','001001000000','001001006000'
'1447305483','yoonsung','001000000000','001001000000','001001006000'
'1447305222','yoonsung','001000000000','001001000000','001001006000'
'1447304638','yoonsung','001000000000','001001000000','001001006000'
'1447295558','yoonsung','001000000000','001001000000','001001006000'
'1447295066','yoonsung','001000000000','001001000000','001001006000'
'1447294206','yoonsung','001000000000','001001000000','001001006000'
'1447294084','yoonsung','001000000000','001001000000','001001006000'
'1447293244','yoonsung','001000000000','001001000000','001001006000'
'1447293098','yoonsung','001000000000','001001000000','001001006000'
'1447292963','yoonsung','001000000000','001001000000','001001006000'
'1447292858','yoonsung','001000000000','001001000000','001001006000'
'1447292716','yoonsung','001000000000','001001000000','001001006000'
'1447292566','yoonsung','001000000000','001001000000','001001006000'
'1447292432','yoonsung','001000000000','001001000000','001001006000'
'1447292273','yoonsung','001000000000','001001000000','001001006000'
'1447292100','yoonsung','001000000000','001001000000','001001006000'
'1447292003','yoonsung','001000000000','001001000000','001001006000'
'1447291741','yoonsung','001000000000','001001000000','001001006000'
'1447291615','yoonsung','001000000000','001001000000','001001006000'
'1447291357','yoonsung','001000000000','001001000000','001001006000'
'1447290925','yoonsung','001000000000','001001000000','001001006000'
'1446774153','HANIL','001000000000','001002000000','001002003000'
'1446773912','HANIL','001000000000','001002000000','001002003000'
'1446709893','HANIL','001000000000','001002000000','001002002000'
'1446515318','HANIL','001000000000','001002000000','001002003000'
'1446515170','HANIL','001000000000','001002000000','001002003000'
'1446514855','HANIL','001000000000','001002000000','001002003000'
'1446514813','HANIL','001000000000','001002000000','001002003000'
'1446514766','HANIL','001000000000','001002000000','001002003000'
'1446514718','HANIL','001000000000','001002000000','001002003000'
'1446514677','HANIL','001000000000','001002000000','001002003000'
'1446514623','HANIL','001000000000','001002000000','001002003000'
'1446514552','HANIL','001000000000','001002000000','001002003000'
'1446165911','HANIL','001000000000','001001000000','001001001000'
'1445841172','HANIL','001000000000','001002000000','001002003000'
'1445565975','HANIL','001000000000','001002000000','001002003000'
'1445565949','HANIL','001000000000','001002000000','001002003000'
'1445565922','HANIL','001000000000','001002000000','001002003000'
'1445565880','HANIL','001000000000','001002000000','001002003000'
'1445565855','HANIL','001000000000','001002000000','001002003000'
'1445565822','HANIL','001000000000','001002000000','001002003000'
'1445565792','HANIL','001000000000','001002000000','001002003000'
'1445565663','HANIL','001000000000','001002000000','001002003000'
'1445304214','HANIL','001000000000','001001000000','001001006000'
'1445304104','HANIL','001000000000','001001000000','001001006000'
'1445303879','HANIL','001000000000','001001000000','001001006000'
'1445303796','HANIL','001000000000','001001000000','001001006000'
'1445303657','HANIL','001000000000','001001000000','001001006000'
'1445303548','HANIL','001000000000','001001000000','001001006000'
'1445303466','HANIL','001000000000','001001000000','001001006000'
'1445302750','HANIL','001000000000','001001000000','001001006000'
'1445235347','daea','001000000000','001003000000','001003004000'
'1445235318','daea','001000000000','001003000000','001003003000'
'1445235287','daea','001000000000','001003000000','001003003000'
'1445235255','daea','001000000000','001003000000','001003003000'
'1445235220','daea','001000000000','001003000000','001003003000'
'1445235172','daea','001000000000','001003000000','001003004000'
'1445235138','daea','001000000000','001003000000','001003004000'
'1445235108','daea','001000000000','001003000000','001003003000'
'1445235074','daea','001000000000','001003000000','001003003000'
'1445235026','daea','001000000000','001003000000','001003003000'
'1445234989','daea','001000000000','001003000000','001003003000'
'1445234943','daea','001000000000','001003000000','001003003000'
'1445234909','daea','001000000000','001003000000','001003003000'
'1445234851','daea','001000000000','001003000000','001003003000'
'1445234808','daea','001000000000','001003000000','001003004000'
'1445234768','daea','001000000000','001003000000','001003004000'
'1445234729','daea','001000000000','001003000000','001003004000'
'1445234699','daea','001000000000','001003000000','001003003000'
'1445234658','daea','001000000000','001003000000','001003003000'
'1445234630','daea','001000000000','001003000000','001003003000'
'1445234576','daea','001000000000','001003000000','001003003000'
'1445234474','daea','001000000000','001003000000','001003003000'
'1445228724','HANIL','001000000000','001002000000','001002003000'
'1445215690','HANIL','001000000000','001002000000','001002003000'
'1444789251','HANIL','001000000000','001002000000','001002003000'
'1444789072','HANIL','001000000000','001002000000','001002002000'
'1444788991','HANIL','001000000000','001003000000','001003003000'
'1444788527','HANIL','001000000000','001002000000','001002002000'
'1444788119','HANIL','001000000000','001002000000','001002002000'
'1444787931','HANIL','001000000000','001002000000','001002002000'
'1444787789','HANIL','001000000000','001002000000','001002002000'
'1444787669','HANIL','001000000000','001002000000','001002002000'
'1444787596','HANIL','001000000000','001002000000','001002002000'
'1444787299','HANIL','001000000000','001002000000','001002002000'
'1444787208','HANIL','001000000000','001002000000','001002002000'
'1444786959','HANIL','001000000000','001002000000','001002002000'
'1444786717','HANIL','001000000000','001002000000','001002003000'
'1444786382','HANIL','001000000000','001002000000','001002002000'
'1444786127','HANIL','001000000000','001002000000','001002002000'
'1444699515','dawon','001000000000','001002000000','001002002000'
'1444699362','dawon','001000000000','001002000000','001002002000'
